store,date,predicted_sales
Store 2,2025-08-10,4369.942285714286
Store 2,2025-08-11,4246.565547619048
Store 2,2025-08-12,4215.946706349207
Store 2,2025-08-13,4331.223222222222
Store 2,2025-08-14,4163.287583333333
Store 2,2025-08-15,4202.267333333333
Store 2,2025-08-16,3716.643333333333
Store 2,2025-08-17,4369.942285714286
Store 2,2025-08-18,4246.565547619048
Store 2,2025-08-19,4215.946706349207
Store 2,2025-08-20,4331.223222222222
Store 2,2025-08-21,4163.287583333333
Store 2,2025-08-22,4202.267333333333
Store 2,2025-08-23,3716.643333333333
Store 2,2025-08-24,4369.942285714286
Store 2,2025-08-25,4246.565547619048
Store 2,2025-08-26,4215.946706349207
Store 2,2025-08-27,4331.223222222222
Store 2,2025-08-28,4163.287583333333
Store 2,2025-08-29,4202.267333333333
Store 2,2025-08-30,3716.643333333333
Store 2,2025-08-31,4369.942285714286
Store 2,2025-09-01,4246.565547619048
Store 2,2025-09-02,4215.946706349207
Store 2,2025-09-03,4331.223222222222
Store 2,2025-09-04,4163.287583333333
Store 2,2025-09-05,4202.267333333333
Store 2,2025-09-06,3716.643333333333
Store 2,2025-09-07,4369.942285714286
Store 2,2025-09-08,4246.565547619048
Store 3,2025-08-10,3872.2200238095243
Store 3,2025-08-11,2390.936071428571
Store 3,2025-08-12,4392.672166666668
Store 3,2025-08-13,2946.728666666665
Store 3,2025-08-14,3926.4222857142863
Store 3,2025-08-15,3579.6179999999995
Store 3,2025-08-16,3706.705952380952
Store 3,2025-08-17,3872.2200238095243
Store 3,2025-08-18,2390.936071428571
Store 3,2025-08-19,4392.672166666668
Store 3,2025-08-20,2946.728666666665
Store 3,2025-08-21,3926.4222857142863
Store 3,2025-08-22,3579.6179999999995
Store 3,2025-08-23,3706.705952380952
Store 3,2025-08-24,3872.2200238095243
Store 3,2025-08-25,2390.936071428571
Store 3,2025-08-26,4392.672166666668
Store 3,2025-08-27,2946.728666666665
Store 3,2025-08-28,3926.4222857142863
Store 3,2025-08-29,3579.6179999999995
Store 3,2025-08-30,3706.705952380952
Store 3,2025-08-31,3872.2200238095243
Store 3,2025-09-01,2390.936071428571
Store 3,2025-09-02,4392.672166666668
Store 3,2025-09-03,2946.728666666665
Store 3,2025-09-04,3926.4222857142863
Store 3,2025-09-05,3579.6179999999995
Store 3,2025-09-06,3706.705952380952
Store 3,2025-09-07,3872.2200238095243
Store 3,2025-09-08,2390.936071428571
Store 1,2025-08-10,3807.607345238095
Store 1,2025-08-11,3783.1193571428557
Store 1,2025-08-12,3578.075928571429
Store 1,2025-08-13,4119.13444047619
Store 1,2025-08-14,4191.094666666668
Store 1,2025-08-15,4374.7425
Store 1,2025-08-16,2857.2267857142856
Store 1,2025-08-17,3807.607345238095
Store 1,2025-08-18,3783.1193571428557
Store 1,2025-08-19,3578.075928571429
Store 1,2025-08-20,4119.13444047619
Store 1,2025-08-21,4191.094666666668
Store 1,2025-08-22,4374.7425
Store 1,2025-08-23,2857.2267857142856
Store 1,2025-08-24,3807.607345238095
Store 1,2025-08-25,3783.1193571428557
Store 1,2025-08-26,3578.075928571429
Store 1,2025-08-27,4119.13444047619
Store 1,2025-08-28,4191.094666666668
Store 1,2025-08-29,4374.7425
Store 1,2025-08-30,2857.2267857142856
Store 1,2025-08-31,3807.607345238095
Store 1,2025-09-01,3783.1193571428557
Store 1,2025-09-02,3578.075928571429
Store 1,2025-09-03,4119.13444047619
Store 1,2025-09-04,4191.094666666668
Store 1,2025-09-05,4374.7425
Store 1,2025-09-06,2857.2267857142856
Store 1,2025-09-07,3807.607345238095
Store 1,2025-09-08,3783.1193571428557
